num_layers,activation,final_train_loss,final_train_acc,test_acc,precision,recall,f1,avg_epoch_time
1,leaky_relu,1.9485386012460264,31.808,28.44,27.87813010328958,28.439999999999998,23.58423071250121,40.66397953033447
2,leaky_relu,0.5204535686146573,81.552,82.26,82.96191191187272,82.26,82.1861121261434,25.908128452301025
3,leaky_relu,0.39017131337729255,85.496,78.56,80.4577023312817,78.56,78.28423658635285,26.461616468429565
4,leaky_relu,0.4007251823649687,84.796,83.9,84.85925903622936,83.89999999999999,83.71392917793194,26.79702491760254
5,leaky_relu,0.4237712843491293,83.84,85.9,86.38339908505097,85.9,86.06310174752187,27.083241939544678
6,leaky_relu,0.45264938008754757,83.26,86.56,87.53516565932154,86.56,86.68029132802015,27.277761793136598
7,leaky_relu,0.48461209180409953,81.844,80.3,81.76805155476207,80.30000000000001,80.6051798502793,27.73423581123352
8,leaky_relu,0.4998541710626744,81.432,82.0,83.47157197738426,82.0,82.20765548737945,28.05752286911011
9,leaky_relu,0.5411191793811291,80.252,80.4,81.51707265052744,80.4,80.66165955800196,28.727584409713746
10,leaky_relu,0.5691095508272995,79.452,81.02,83.16171727282278,81.02000000000001,81.39684739005642,29.024195384979247
