num_layers,num_epochs,final_train_loss,final_train_acc,test_acc,precision,recall,f1,avg_epoch_time
2,7,0.42394002540337156,84.672,84.74,85.29480458520852,84.74000000000001,84.71621148744615,33.193375655582976
2,8,0.3848838740221375,86.044,88.18,88.46731924445798,88.18,88.25348763339395,35.89760172367096
2,9,0.3639436254034872,87.032,85.56,86.09680764262053,85.56,85.52632402302257,35.89537556966146
2,10,0.34650959272671233,87.62,84.48,86.0428397564522,84.48,84.49452768753069,34.14070837497711
3,7,0.3124557432082608,88.272,87.72,88.47944906657776,87.72,87.52322199292098,37.225635392325266
3,8,0.3033329076169397,88.376,90.78,90.86816529576123,90.78,90.75533348585776,37.16975173354149
3,9,0.27340368556854366,89.596,91.36,91.55703103099503,91.36,91.36919469923282,37.26807186338637
3,10,0.26780118145372556,89.752,90.92,91.08603597347908,90.92,90.926585996279,37.18802511692047
4,7,0.33785819245116483,87.108,88.54,88.91376502370319,88.53999999999999,88.51613782566716,38.49094673565456
4,8,0.31278381679597717,87.756,87.18,87.9265341955431,87.18,87.2509989192501,38.70336550474167
4,9,0.28733075703577615,88.8,87.24,88.15816329536923,87.24,87.25736036602723,38.89171155293783
4,10,0.2710930043474183,89.6,90.9,91.15077909882663,90.9,90.9430694884539,27.795828294754028
5,7,0.3534592512394766,86.576,85.12,85.95575612676335,85.11999999999999,85.28701035345615,26.8003066607884
5,8,0.33028251443372664,87.4,86.36,87.68450722566314,86.36,86.27794851463314,26.808824747800827
5,9,0.30567367092880143,88.272,90.44,90.61770367446837,90.44,90.45309915803455,26.976093689600628
5,10,0.29066678449092315,88.8,92.06,92.31847503373048,92.06,92.09384285555828,26.866453695297242
