num_layers,activation,final_train_loss,final_train_acc,test_acc,precision,recall,f1,avg_epoch_time
1,relu,1.9066741484815202,33.14,32.74,29.942899296642615,32.74,29.811037744610836,29.012305474281312
1,leaky_relu,1.916054198199221,33.448,33.14,30.83598000309883,33.14,30.6978747084042,33.85188031196594
2,relu,0.33220894924362604,87.708,85.78,86.42903249309207,85.78,85.86835011416309,30.13706455230713
2,leaky_relu,0.35254101643858055,87.316,87.94,88.24232094913242,87.94,88.01403374641103,30.076408481597902
3,relu,0.2826556185131793,89.176,90.48,90.63502533261355,90.48,90.4914309163549,31.7367956161499
3,leaky_relu,0.29821346452473985,88.764,89.98,90.1620125803804,89.98,89.99278990798128,32.06877670288086
4,relu,0.291588257645707,89.136,89.92,90.34595812218198,89.92,89.80934675340617,32.88679735660553
4,leaky_relu,0.30067098321740887,88.644,84.0,85.64062742183435,84.0,84.18605768316179,33.36307384967804
5,relu,0.31399237450278933,88.212,89.18,89.57559462981712,89.18,89.22603069591518,33.464318776130675
5,leaky_relu,0.3185930441864921,88.008,90.92,91.41914490631436,90.92,90.92948206653676,33.12631957530975
6,relu,0.3224074227921188,87.764,90.16,91.07601449529206,90.16,90.22093696645113,34.45828080177307
6,leaky_relu,0.32392456090968585,87.804,88.62,88.99402927659885,88.62,88.64848808821372,34.29264090061188
7,relu,0.34375678383938185,86.948,86.36,87.15869965310549,86.36,86.52063784353753,35.2587477684021
7,leaky_relu,0.34960117341612307,87.076,88.44,88.86673414146607,88.44,88.38476673120975,33.58006010055542
8,relu,0.37482417624472353,86.444,89.16,89.90299573602302,89.16,89.19907019824412,33.839355969429015
8,leaky_relu,0.38999749358047914,85.736,90.4,90.5813294168781,90.4,90.43503557668431,33.73298919200897
9,relu,0.35817855691818323,86.736,90.76,91.05299404603325,90.75999999999999,90.72852040347645,34.68619613647461
9,leaky_relu,0.38130022936007557,85.756,90.3,90.74047438978246,90.3,90.34070692978207,34.438568234443665
10,relu,0.4003947280023409,85.512,79.76,82.26298702700015,79.75999999999999,79.76996072851155,12846.058041596412
10,leaky_relu,0.4106371169886016,84.952,87.9,88.41129594982813,87.9,87.79163329976512,44.55020980834961
