num_layers,activation,final_train_loss,final_train_acc,test_acc,precision,recall,f1,avg_epoch_time
1,relu,1.6107619249137344,42.33,43.4,41.16272544397178,43.4,39.96377890746404,10.887488889694215
1,sigmoid,1.4425115167714988,48.26,46.5,46.663763270613416,46.5,45.77216608443362,10.324638032913208
1,tanh,1.6968817065475852,38.36,38.233333333333334,34.778212078182726,38.233333333333334,34.14782639840335,9.715460205078125
1,leaky_relu,1.6028064071752464,42.43,40.666666666666664,41.324876049560444,40.666666666666664,39.21991107550553,12.484266471862792
2,relu,1.2913653440536208,51.46,52.86666666666667,51.941901000393365,52.86666666666666,51.90642589028129,10.521990823745728
2,sigmoid,1.5915147757074635,42.1,40.56666666666667,39.30844826918198,40.56666666666667,38.95395902843349,10.721031856536865
2,tanh,1.7712245761968528,35.11,33.833333333333336,31.21316454229952,33.83333333333333,30.66399686543698,11.068377923965453
2,leaky_relu,1.3598760244952646,49.54,51.1,51.048888667585366,51.1,50.39761080608899,11.12959418296814
3,relu,1.184664010242292,54.01,57.833333333333336,59.47573402117208,57.833333333333336,57.98428831240565,11.578239488601685
3,sigmoid,1.5065576832765226,43.8,41.46666666666667,43.20816253472292,41.46666666666667,40.584702640786155,11.763530921936034
3,tanh,1.8130602191208274,34.12,34.0,33.09913063853781,34.0,31.567135269170883,11.601540899276733
3,leaky_relu,1.2035481937372001,53.02,53.1,54.22687018712303,53.1,53.013818572282766,10.474254369735718
4,relu,1.2044231234842044,52.0,56.2,58.57225444706181,56.2,55.33854388217143,11.054322862625122
4,sigmoid,1.5844371136586377,40.62,39.06666666666667,38.20324484045238,39.06666666666666,36.79411509309835,10.83860912322998
4,tanh,1.8169760286428367,33.4,33.833333333333336,34.07975513177647,33.83333333333333,30.55694711012789,11.680530738830566
4,leaky_relu,1.204346941914528,52.51,57.2,59.696676667943905,57.199999999999996,57.30653236724691,10.213802671432495
5,relu,1.2330589066645143,51.26,53.3,56.20312010787206,53.300000000000004,53.686888610179096,12.03346643447876
5,sigmoid,1.6690154553978307,37.68,39.8,40.43017081353744,39.800000000000004,35.53668040591741,10.389428901672364
5,tanh,2.0591979520336077,25.57,24.8,18.73809581381006,24.8,20.41018229586576,10.532452917098999
5,leaky_relu,1.2210222300450513,51.58,55.93333333333333,59.88001395101206,55.93333333333334,54.879476355357596,10.54349513053894
